Winter 2018,Office of the Registrar,5-Jan-18,,,
CRN,Course,Credits,Enrolled,WL Capacity,
22253,CIS 422 Software Method I,4,35,5,
Instructor,Days,Time,Location,,
"Faulk, Stuart",MWF,0900-0950,B040 Price Science Commons,,
,,,,,
**NOTE!** >> means the student has restricted release of directory information,,,,,
,,,,,
Student name,UO ID,Class,Major,Email,Notes
"Lewis, Denise",100000000,SR,MACS,willy@wonka.com,
"Sims, Angela",100000001,SR,CIS,willy@wonka.com,
"Allen, Robin",100000002,SR,CIS,willy@wonka.com,
"Carroll, Bruce",100000003,SR,CIS,willy@wonka.com,
"Gray, Steven",100000004,SR,CIS,willy@wonka.com,
"Campbell, Nicole",100000005,SR,LING,willy@wonka.com,
"Lopez, Peter",100000006,SR,MACS,willy@wonka.com,
"Diaz, Michael",100000007,SR,CIS,willy@wonka.com,
"Murray, Debra",100000008,SR,CIS,willy@wonka.com,
"Phillips, Irene",100000009,SR,CIS,willy@wonka.com,
"Parker, Stephen",100000010,SR,CIS,willy@wonka.com,
"West, Billy",100000011,SR,CIS,willy@wonka.com,
"Gibson, Amanda",100000012,SR,CIS,willy@wonka.com,
"Burton, John",100000013,P,CIS,willy@wonka.com,
"Weaver, Rebecca",100000014,SR,CIS,willy@wonka.com,
"Oliver, Cynthia",100000015,SR,CIS,willy@wonka.com,
"Thompson, Russell",100000016,SR,CIS,willy@wonka.com,
"Ward, Rachel",100000017,SR,CIS,willy@wonka.com,
"Simmons, Ann",100000018,SR,CIS,willy@wonka.com,
"Mitchell, Sharon",100000019,SR,CIS,willy@wonka.com,
"Turner, Lawrence",100000020,SR,CIS,willy@wonka.com,
"Morgan, Craig",100000021,SR,CIS,willy@wonka.com,
"Robertson, Roger",100000022,SR,CIS,willy@wonka.com,
"Howell, Nancy",100000023,SR,PHYS,willy@wonka.com,
"Armstrong, Russell",100000024,SR,CIS,willy@wonka.com,
"Banks, Kenneth",100000025,P,CIS,willy@wonka.com,
"Reyes, Steven",100000026,SR,CIS,willy@wonka.com,
"Taylor, Sara",100000027,SR,CIS,willy@wonka.com,
"Chavez, Ruby",100000028,SR,CIS,willy@wonka.com,
"Ruiz, Larry",100000029,SR,CIS,willy@wonka.com,
"Ruiz, Victor",100000030,SR,CIS,willy@wonka.com,
"Black, Janice",100000031,SR,CIS,willy@wonka.com,
"Jackson, Timothy",100000032,SR,EC,willy@wonka.com,
"Meyer, Anthony",100000033,SR,CIS,willy@wonka.com,
"Rose, Nicholas",100000034,SR,CIS,willy@wonka.com,
